NOM;COORDONNEES;LAT;LON;COUNTRY_CODE
El Rosal;;38.433333;-5.6;ES
El Rio;;29.216667;-13.5;ES
El Sancho;;37.466667;-7;ES
El Talave;;38.5;-1.883333;ES
El Tobar;;40.6;-4.183333;ES
El Torcon;;39.616667;-4.366667;ES
El Vado;;41.016667;-3.3;ES
El Val;;41.883333;-1.8;ES
El Vellon;;40.766667;-3.65;ES
El Vicario;;39.066667;-3.95;ES
El Villar;;40.966667;-3.566667;ES
Embarcaderos;;39.25;-1.05;ES
Encinarejo;;38.166667;-4;ES
Ensenada De San Simon;;42.3;-8.633333;ES
Entrepenas;;40.55;-2.716667;ES
Escales;;42.333333;0.75;ES
Escalona;;39.133333;-0.7;ES
Escatron;;41.283333;-0.266667;ES
Estanca De Alcaniz;;41.066667;-0.2;ES
Estartit;;42.05;3.216667;ES
Estuario Del Guadalquivir;;36.866667;-6.35;ES
Estuario Del Guadiana;;37.216667;-7.416667;ES
Estuario Del Jucar;;39.15;-0.233333;ES
Eugi;;42.983333;-1.516667;ES
Eume;;43.4;-8;ES
Finisterre;;39.65;-3.65;ES
Flix;;41.233333;0.533333;ES
Foix;;41.266667;1.633333;ES
Forata;;39.35;-0.866667;ES
Forcadas;;43.6;-8.083333;ES
Francisco Abellan;;37.3;-3.266667;ES
Fuenlabrada;;39.083333;-4.916667;ES
Fuensanta;;38.366667;-2.25;ES
Fuenterrabia;;43.366667;-1.783333;ES
Fuerteventura;;28.45;-13.866667;ES
Gabriel Y Galan;;40.25;-6.133333;ES
Gaia;;41.2;1.333333;ES
Gallipuen;;40.866667;-0.416667;ES
Gando - Ume;;27.933333;-15.383333;ES
Garcia De Sola Centro;;39.233333;-5.116667;ES
Garcia De Sola Norte;;39.266667;-5.05;ES
Garcia De Sola Sur;;39.2;-5.166667;ES
Gargaligas;;39.2;-5.35;ES
Garguera;;39.983333;-5.9;ES
Gasset;;39.133333;-3.95;ES
Gelsa;;41.4;-0.466667;ES
Giribaile;;38.1;-3.483333;ES
Golfo De Las Puntas;;27.816667;-18;ES
Golfo De Rosas;;42.25;3.166667;ES
Gonzalez Lacasa;;42.183333;-2.683333;ES
Guadalcacin;;36.666667;-5.733333;ES
Guadalest;;38.683333;-0.2;ES
Guadalete;;36.583333;-6.233333;ES
Guadalhorce;;36.966667;-4.783333;ES
Guadalmellato;;38.066667;-4.683333;ES
Guadalmena;;38.383333;-2.9;ES
Guadalquivir Centro;;37.133333;-6.1;ES
Guadalquivir Norte;;37.233333;-6.066667;ES
Guadalquivir Sur;;36.966667;-6.183333;ES
Guadalteba;;36.95;-4.833333;ES
Guadalen;;38.183333;-3.466667;ES
Guadarranque;;36.316667;-5.466667;ES
Guadiana Centro;;37.383333;-7.45;ES
Guadiana Norte;;37.5;-7.483333;ES
Guadiana Sur;;37.283333;-7.433333;ES
Guadiloba;;39.483333;-6.283333;ES
Guajaraz;;39.783333;-4.083333;ES
Guara;;42.233333;-0.216667;ES
Guiamets;;41.1;0.75;ES
Gevalo;;39.716667;-4.85;ES
Gorliz;;43.416667;-2.95;ES
Hierro;;27.816667;-17.883333;ES
Horno Tejero;;39.166667;-6.433333;ES
Huesna;;37.783333;-5.683333;ES
Ibai Eder;;43.116667;-2.233333;ES
Ibiur;;43.083333;-2.116667;ES
Irabia;;42.983333;-1.15;ES
Iruena;;40.433333;-6.583333;ES
Islas Addaya;;40.016667;4.216667;ES
Isla Conejera;;38.983333;1.233333;ES
Isla Cristina;;37.2;-7.333333;ES
Isla Del Aire;;39.8;4.283333;ES
Isla De Cabrera;;39.15;2.933333;ES
Isla Dragonera;;39.583333;2.333333;ES
Isla Espalmador;;38.766667;1.416667;ES
Isla Formentera;;38.683333;1.45;ES
Itoiz;;42.816667;-1.366667;ES
Iznajar;;37.283333;-4.35;ES
Jarandilla;;40.066667;-5.6;ES
Jarrama;;37.666667;-6.5;ES
Jerte;;40.083333;-6;ES
Jose Toran;;37.766667;-5.466667;ES
Jandula;;38.266667;-3.933333;ES
Javea;;38.783333;0.2;ES
Lago De Banolas;;42.116667;2.75;ES
Lago De Encrobas;;43.2;-8.433333;ES
Lago De Sanabria;;42.116667;-6.716667;ES
Laguna De El Hondo;;38.183333;-0.766667;ES
Laguna De Fuente De Piedra;;37.116667;-4.766667;ES
Laguna De Gallocanta;;40.966667;-1.5;ES
Laguna De Guallar;;41.416667;-0.183333;ES
Laguna De Santiago;;28.033333;-17.183333;ES
Laguna De Sarinena;;41.8;-0.183333;ES
Laguna De Zonar;;37.483333;-4.7;ES
Laguna Larga;;39.6;-3.316667;ES
Laguna Pudent;;38.733333;1.433333;ES
Laja;;28.05;-15.416667;ES
Lanuza;;42.75;-0.316667;ES
Lanzarote;;28.95;-13.6;ES
Lastanosa;;41.85;-0.066667;ES
Las Conchas;;41.966667;-7.983333;ES
Las Fitas;;41.8;-0.066667;ES
Las Portas;;42.1;-7.233333;ES
Las Rozas;;42.916667;-6.333333;ES
Las Torcas;;41.283333;-1.1;ES
Las Viboras;;37.633333;-4;ES
Laverne;;42.083333;-1.083333;ES
La Acena;;40.616667;-4.233333;ES
La Albufera;;39.333333;-0.333333;ES
La Baells;;42.15;1.866667;ES
La Bolera;;37.766667;-2.9;ES
La Brena;;37.833333;-5.05;ES
La Bujeda;;40.25;-2.833333;ES
La Cabezuela;;38.7;-3.266667;ES
La Campanana;;42.5;-6.766667;ES
La Cierva;;38.066667;-1.5;ES
La Cohilla;;43.133333;-4.4;ES
La Colada;;38.533333;-5;ES
La Concepcion;;36.55;-4.966667;ES
La Cuerda Del Pozo;;41.85;-2.75;ES
La Ermita;;40.616667;-2.7;ES
La Fernandina;;38.2;-3.566667;ES
La Fervenza;;43;-9;ES
La Fresneda;;38.533333;-3.616667;ES
La Gitana;;37.6;-5.55;ES
La Gomera;;28.033333;-17.216667;ES
La Jarosa;;40.666667;-4.116667;ES
La Lanzada;;42.45;-8.883333;ES
La Losa Del Caballo;;42.116667;1.6;ES
La Loteta;;41.816667;-1.333333;ES
La Mata;;38.033333;-0.683333;ES
La Minilla;;37.683333;-6.2;ES
La Muela;;39.233333;-0.933333;ES
La Palma;;28.633333;-17.75;ES
La Pedrera;;38.016667;-0.866667;ES
La Pena;;42.383333;-0.716667;ES
La Portina;;40;-4.85;ES
La Puebla De Cazalla;;37.133333;-5.233333;ES
La Ribeira;;43.466667;-7.816667;ES
La Savina;;38.733333;1.4;ES
La Serena Centro;;38.933333;-5.25;ES
La Serena Este;;38.866667;-5.15;ES
La Serena Norte;;38.966667;-5.2;ES
La Serena Oeste;;38.933333;-5.316667;ES
La Serena Sur;;38.816667;-5.05;ES
La Sotonera;;42.116667;-0.666667;ES
La Tajera;;40.85;-2.616667;ES
La Toba;;40.216667;-1.916667;ES
La Tranquera;;41.25;-1.8;ES
La Vega Del Jabalon;;38.766667;-3.783333;ES
La Vinuela;;36.866667;-4.166667;ES
Lechago;;40.966667;-1.3;ES
Leon - Ume;;42.6;-5.65;ES
Linares Del Arroyo;;41.516667;-3.533333;ES
Llerena;;38.3;-5.9;ES
Loriguilla;;39.666667;-0.916667;ES
Los Bermejales;;36.983333;-3.883333;ES
Los Canchales;;38.983333;-6.516667;ES
Los Hurones;;36.683333;-5.533333;ES
Los Machos;;37.316667;-7.216667;ES
Los Melonares;;37.75;-5.883333;ES
Los Molinos;;38.516667;-6.116667;ES
Los Vados;;41.983333;-3.166667;ES
Maidevera;;41.583333;-1.766667;ES
Malpartida;;40.016667;-6;ES
Malpasillo;;37.3;-4.683333;ES
Malvecino;;42.2;-1.4;ES
Mansilla;;42.15;-2.933333;ES
Martin Gonzalo;;38.1;-4.333333;ES
Mar Menor;;37.733333;-0.8;ES
Maria Cristina;;40.033333;-0.166667;ES
Matalavilla;;42.833333;-6.433333;ES
Mazagon;;37.15;-6.883333;ES
Mazarron;;37.566667;-1.233333;ES
Mediano;;42.333333;0.2;ES
Melilla;;35.283333;-2.933333;ES
Mequinenza Occidental;;41.266667;0;ES
Mequinenza Oriental;;41.4;0.216667;ES
Mequinenza Presa;;41.35;0.333333;ES
Minas De Cala;;37.966667;-6.366667;ES
Moneva;;41.166667;-0.833333;ES
Monteagudo;;41.383333;-2.183333;ES
Montearagon;;42.183333;-0.366667;ES
Montijo;;38.933333;-6.416667;ES
Montoro;;38.55;-4.116667;ES
Moraira;;38.683333;0.133333;ES
Moron - Ume;;37.166667;-5.616667;ES
Mularroya;;41.466667;-1.433333;ES
Navacerrada;;40.716667;-4;ES
Navalcan;;40.033333;-5.116667;ES
Navalespino;;38.416667;-5.566667;ES
Navanuno;;40.35;-5.783333;ES
Negratin;;37.566667;-2.916667;ES
Nogales;;38.55;-6.733333;ES
Agavanzal;;41.983333;-6.166667;ES
Oliana;;42.1;1.3;ES
Olivargas;;37.716667;-6.8;ES
Ordunte;;43.15;-3.3;ES
Orellana Central;;39.05;-5.366667;ES
Orellana Este;;39.1;-5.283333;ES
Orellana Oeste;;39;-5.466667;ES
Pajares;;42.083333;-2.6;ES
Palamos;;41.85;3.116667;ES
Peares;;42.5;-7.716667;ES
Pedro Marin;;37.9;-3.4;ES
Pena;;40.816667;0.133333;ES
Penarroya;;39.033333;-2.966667;ES
Penarrubia;;42.466667;-6.816667;ES
Picadas;;40.333333;-4.25;ES
Piedras;;37.383333;-7.266667;ES
Piedra Aguda;;38.666667;-7.033333;ES
Pignatelli;;42.033333;-1.55;ES
Pinilla;;40.933333;-3.8;ES
Playa De Bolonia;;36.083333;-5.783333;ES
Playa De El Arenal;;39.516667;2.733333;ES
Playa De Es Trenc;;39.35;2.966667;ES
Playa De Las Canteras;;28.15;-15.45;ES
Playa De Las Salinas;;38.833333;1.383333;ES
Playa De La Concha;;43.316667;-2;ES
Playa De Palmanova;;39.516667;2.55;ES
Playa De Son Bou;;39.9;4.066667;ES
Ponton Alto;;40.916667;-4.033333;ES
Porma;;42.933333;-5.283333;ES
Portaje;;39.883333;-6.533333;ES
Portodemouros;;42.833333;-8.133333;ES
Portomarin;;42.8;-7.616667;ES
Portopetro;;39.35;3.216667;ES
Poris De Abona;;28.15;-16.433333;ES
Prada;;42.283333;-7.033333;ES
Proserpina;;38.966667;-6.366667;ES
Puentes;;37.75;-1.833333;ES
Puentes De Garcia Rodriguez;;43.466667;-7.9;ES
Puentes Viejas;;41;-3.583333;ES
Puente Navarro;;39.15;-3.7;ES
Puente Nuevo;;38.116667;-4.966667;ES
Puente Porto;;42.116667;-6.833333;ES
Puerto Del Rosario;;28.5;-13.85;ES
Puerto De Alicante;;38.333333;-0.483333;ES
Puerto De Almeria;;36.833333;-2.466667;ES
Puerto De Andratx;;39.533333;2.383333;ES
Puerto De Arrecife;;28.966667;-13.533333;ES
Puerto De Aviles;;43.583333;-5.916667;ES
